DailyStressKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;stress_high;recovery_high;day_summary;day;timestamp
user_declining_dailystress_20250402_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250402_1;10795;4989;normal;2025-04-02;2025-04-02T04:00:00-04:00
user_declining_dailystress_20250403_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250403_1;12982;7498;normal;2025-04-03;2025-04-03T04:00:00-04:00
user_declining_dailystress_20250404_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250404_1;14108;7452;normal;2025-04-04;2025-04-04T04:00:00-04:00
user_declining_dailystress_20250405_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250405_1;5249;10979;restorative;2025-04-05;2025-04-05T04:00:00-04:00
user_declining_dailystress_20250406_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250406_1;2457;15785;restorative;2025-04-06;2025-04-06T04:00:00-04:00
user_declining_dailystress_20250407_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250407_1;12776;7598;normal;2025-04-07;2025-04-07T04:00:00-04:00
user_declining_dailystress_20250408_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250408_1;13201;7740;normal;2025-04-08;2025-04-08T04:00:00-04:00
user_declining_dailystress_20250409_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250409_1;13669;4936;normal;2025-04-09;2025-04-09T04:00:00-04:00
user_declining_dailystress_20250410_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250410_1;11923;7065;normal;2025-04-10;2025-04-10T04:00:00-04:00
user_declining_dailystress_20250411_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250411_1;18023;1975;stressful;2025-04-11;2025-04-11T04:00:00-04:00
user_declining_dailystress_20250412_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250412_1;6514;7657;balanced;2025-04-12;2025-04-12T04:00:00-04:00
user_declining_dailystress_20250413_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250413_1;5410;14817;restorative;2025-04-13;2025-04-13T04:00:00-04:00
user_declining_dailystress_20250414_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250414_1;16679;3756;stressful;2025-04-14;2025-04-14T04:00:00-04:00
user_declining_dailystress_20250415_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250415_1;10647;6794;normal;2025-04-15;2025-04-15T04:00:00-04:00
user_declining_dailystress_20250416_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250416_1;14452;4699;normal;2025-04-16;2025-04-16T04:00:00-04:00
user_declining_dailystress_20250417_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250417_1;14550;7369;normal;2025-04-17;2025-04-17T04:00:00-04:00
user_declining_dailystress_20250418_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250418_1;13827;3807;normal;2025-04-18;2025-04-18T04:00:00-04:00
user_declining_dailystress_20250419_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250419_1;5886;9553;restorative;2025-04-19;2025-04-19T04:00:00-04:00
user_declining_dailystress_20250420_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250420_1;3898;14370;restorative;2025-04-20;2025-04-20T04:00:00-04:00
user_declining_dailystress_20250421_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250421_1;12594;7050;normal;2025-04-21;2025-04-21T04:00:00-04:00
user_declining_dailystress_20250422_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250422_1;12644;4694;normal;2025-04-22;2025-04-22T04:00:00-04:00
user_declining_dailystress_20250423_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250423_1;12450;5327;normal;2025-04-23;2025-04-23T04:00:00-04:00
user_declining_dailystress_20250424_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250424_1;12259;7147;normal;2025-04-24;2025-04-24T04:00:00-04:00
user_declining_dailystress_20250425_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250425_1;12223;4522;normal;2025-04-25;2025-04-25T04:00:00-04:00
user_declining_dailystress_20250426_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250426_1;7574;8322;balanced;2025-04-26;2025-04-26T04:00:00-04:00
user_declining_dailystress_20250427_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250427_1;7100;13739;restorative;2025-04-27;2025-04-27T04:00:00-04:00
user_declining_dailystress_20250428_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250428_1;13956;4783;normal;2025-04-28;2025-04-28T04:00:00-04:00
user_declining_dailystress_20250429_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250429_1;12249;5562;normal;2025-04-29;2025-04-29T04:00:00-04:00
user_declining_dailystress_20250430_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250430_1;15112;5154;normal;2025-04-30;2025-04-30T04:00:00-04:00
user_declining_dailystress_20250501_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250501_1;16128;5069;stressful;2025-05-01;2025-05-01T04:00:00-04:00
user_declining_dailystress_20250502_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250502_1;16614;5324;stressful;2025-05-02;2025-05-02T04:00:00-04:00
user_declining_dailystress_20250503_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250503_1;7780;8691;balanced;2025-05-03;2025-05-03T04:00:00-04:00
user_declining_dailystress_20250504_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250504_1;6497;11302;restorative;2025-05-04;2025-05-04T04:00:00-04:00
user_declining_dailystress_20250505_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250505_1;13460;3103;normal;2025-05-05;2025-05-05T04:00:00-04:00
user_declining_dailystress_20250506_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250506_1;12495;6055;normal;2025-05-06;2025-05-06T04:00:00-04:00
user_declining_dailystress_20250507_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250507_1;13277;2800;normal;2025-05-07;2025-05-07T04:00:00-04:00
user_declining_dailystress_20250508_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250508_1;16162;7037;stressful;2025-05-08;2025-05-08T04:00:00-04:00
user_declining_dailystress_20250509_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250509_1;12566;6034;normal;2025-05-09;2025-05-09T04:00:00-04:00
user_declining_dailystress_20250510_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250510_1;7704;10684;normal;2025-05-10;2025-05-10T04:00:00-04:00
user_declining_dailystress_20250511_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250511_1;5113;12960;restorative;2025-05-11;2025-05-11T04:00:00-04:00
user_declining_dailystress_20250512_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250512_1;11568;5187;normal;2025-05-12;2025-05-12T04:00:00-04:00
user_declining_dailystress_20250513_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250513_1;15205;4785;normal;2025-05-13;2025-05-13T04:00:00-04:00
user_declining_dailystress_20250514_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250514_1;15625;4103;stressful;2025-05-14;2025-05-14T04:00:00-04:00
user_declining_dailystress_20250515_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250515_1;13112;4322;normal;2025-05-15;2025-05-15T04:00:00-04:00
user_declining_dailystress_20250516_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250516_1;15540;2922;stressful;2025-05-16;2025-05-16T04:00:00-04:00
user_declining_dailystress_20250517_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250517_1;4494;7406;restorative;2025-05-17;2025-05-17T04:00:00-04:00
user_declining_dailystress_20250518_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250518_1;6724;11974;restorative;2025-05-18;2025-05-18T04:00:00-04:00
user_declining_dailystress_20250519_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250519_1;15999;3463;stressful;2025-05-19;2025-05-19T04:00:00-04:00
user_declining_dailystress_20250520_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250520_1;11590;7480;normal;2025-05-20;2025-05-20T04:00:00-04:00
user_declining_dailystress_20250521_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250521_1;12471;1593;normal;2025-05-21;2025-05-21T04:00:00-04:00
user_declining_dailystress_20250522_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250522_1;13798;4156;normal;2025-05-22;2025-05-22T04:00:00-04:00
user_declining_dailystress_20250523_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250523_1;17584;2880;stressful;2025-05-23;2025-05-23T04:00:00-04:00
user_declining_dailystress_20250524_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250524_1;5904;6612;balanced;2025-05-24;2025-05-24T04:00:00-04:00
user_declining_dailystress_20250525_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250525_1;9841;13683;normal;2025-05-25;2025-05-25T04:00:00-04:00
user_declining_dailystress_20250526_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250526_1;14865;4451;normal;2025-05-26;2025-05-26T04:00:00-04:00
user_declining_dailystress_20250527_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250527_1;20040;1594;stressful;2025-05-27;2025-05-27T04:00:00-04:00
user_declining_dailystress_20250528_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250528_1;12164;4557;normal;2025-05-28;2025-05-28T04:00:00-04:00
user_declining_dailystress_20250529_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250529_1;16144;5082;stressful;2025-05-29;2025-05-29T04:00:00-04:00
user_declining_dailystress_20250530_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250530_1;15389;4484;normal;2025-05-30;2025-05-30T04:00:00-04:00
user_declining_dailystress_20250531_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250531_1;8538;5230;normal;2025-05-31;2025-05-31T04:00:00-04:00
user_declining_dailystress_20250601_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250601_1;7689;9521;balanced;2025-06-01;2025-06-01T04:00:00-04:00
user_declining_dailystress_20250602_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250602_1;15624;4825;stressful;2025-06-02;2025-06-02T04:00:00-04:00
user_declining_dailystress_20250603_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250603_1;15683;2000;stressful;2025-06-03;2025-06-03T04:00:00-04:00
user_declining_dailystress_20250604_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250604_1;18175;1440;stressful;2025-06-04;2025-06-04T04:00:00-04:00
user_declining_dailystress_20250605_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250605_1;15205;4203;normal;2025-06-05;2025-06-05T04:00:00-04:00
user_declining_dailystress_20250606_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250606_1;14672;2361;normal;2025-06-06;2025-06-06T04:00:00-04:00
user_declining_dailystress_20250607_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250607_1;11331;5707;normal;2025-06-07;2025-06-07T04:00:00-04:00
user_declining_dailystress_20250608_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250608_1;7607;11907;restorative;2025-06-08;2025-06-08T04:00:00-04:00
user_declining_dailystress_20250609_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250609_1;15900;3788;stressful;2025-06-09;2025-06-09T04:00:00-04:00
user_declining_dailystress_20250610_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250610_1;15665;6139;stressful;2025-06-10;2025-06-10T04:00:00-04:00
user_declining_dailystress_20250611_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250611_1;17088;2591;stressful;2025-06-11;2025-06-11T04:00:00-04:00
user_declining_dailystress_20250612_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250612_1;18629;4315;stressful;2025-06-12;2025-06-12T04:00:00-04:00
user_declining_dailystress_20250613_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250613_1;17664;2316;stressful;2025-06-13;2025-06-13T04:00:00-04:00
user_declining_dailystress_20250614_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250614_1;9412;6165;normal;2025-06-14;2025-06-14T04:00:00-04:00
user_declining_dailystress_20250615_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250615_1;9298;10710;balanced;2025-06-15;2025-06-15T04:00:00-04:00
user_declining_dailystress_20250616_1;user_declining;user_declining;2025-07-01T10:00:00Z;user_declining_dailystress_20250616_1;16203;3899;stressful;2025-06-16;2025-06-16T04:00:00-04:00
