DailyReadinessKey;ParticipantID;ParticipantIdentifier;InsertedDate;ID;score;contributors;temperature_deviation;day;timestamp
user_increasing_dailyreadiness_20250402_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250402_1;79;{"hrv_balance":77,"resting_heart_rate":70,"recovery_index":74,"body_temperature":83,"previous_night":80,"previous_day_activity":88,"sleep_balance":81,"activity_balance":66,"sleep_regularity":87};-0.18;2025-04-02;2025-04-02T04:00:00-04:00
user_increasing_dailyreadiness_20250403_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250403_1;80;{"hrv_balance":73,"resting_heart_rate":69,"recovery_index":73,"body_temperature":94,"previous_night":79,"previous_day_activity":86,"sleep_balance":82,"activity_balance":70,"sleep_regularity":86};-0.04;2025-04-03;2025-04-03T04:00:00-04:00
user_increasing_dailyreadiness_20250404_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250404_1;80;{"hrv_balance":76,"resting_heart_rate":76,"recovery_index":79,"body_temperature":84,"previous_night":78,"previous_day_activity":80,"sleep_balance":82,"activity_balance":72,"sleep_regularity":80};-0.10;2025-04-04;2025-04-04T04:00:00-04:00
user_increasing_dailyreadiness_20250405_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250405_1;78;{"hrv_balance":73,"resting_heart_rate":75,"recovery_index":80,"body_temperature":91,"previous_night":75,"previous_day_activity":80,"sleep_balance":82,"activity_balance":65,"sleep_regularity":87};0.12;2025-04-05;2025-04-05T04:00:00-04:00
user_increasing_dailyreadiness_20250406_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250406_1;74;{"hrv_balance":74,"resting_heart_rate":73,"recovery_index":67,"body_temperature":83,"previous_night":79,"previous_day_activity":56,"sleep_balance":81,"activity_balance":72,"sleep_regularity":85};0.18;2025-04-06;2025-04-06T04:00:00-04:00
user_increasing_dailyreadiness_20250407_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250407_1;82;{"hrv_balance":74,"resting_heart_rate":73,"recovery_index":80,"body_temperature":94,"previous_night":81,"previous_day_activity":92,"sleep_balance":81,"activity_balance":69,"sleep_regularity":85};0.00;2025-04-07;2025-04-07T04:00:00-04:00
user_increasing_dailyreadiness_20250408_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250408_1;83;{"hrv_balance":80,"resting_heart_rate":76,"recovery_index":79,"body_temperature":89,"previous_night":81,"previous_day_activity":87,"sleep_balance":82,"activity_balance":76,"sleep_regularity":88};0.19;2025-04-08;2025-04-08T04:00:00-04:00
user_increasing_dailyreadiness_20250409_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250409_1;80;{"hrv_balance":70,"resting_heart_rate":70,"recovery_index":77,"body_temperature":90,"previous_night":81,"previous_day_activity":86,"sleep_balance":82,"activity_balance":71,"sleep_regularity":90};-0.13;2025-04-09;2025-04-09T04:00:00-04:00
user_increasing_dailyreadiness_20250410_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250410_1;79;{"hrv_balance":76,"resting_heart_rate":67,"recovery_index":77,"body_temperature":90,"previous_night":76,"previous_day_activity":89,"sleep_balance":80,"activity_balance":73,"sleep_regularity":87};-0.05;2025-04-10;2025-04-10T04:00:00-04:00
user_increasing_dailyreadiness_20250411_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250411_1;66;{"hrv_balance":49,"resting_heart_rate":48,"recovery_index":54,"body_temperature":84,"previous_night":66,"previous_day_activity":92,"sleep_balance":80,"activity_balance":73,"sleep_regularity":86};0.19;2025-04-11;2025-04-11T04:00:00-04:00
user_increasing_dailyreadiness_20250412_1;user_increasing;user_increasing;2025-07-01T10:00:00Z;user_increasing_dailyreadiness_20250412_1;73;{"hrv_balance":71,"resting_heart_rate":67,"recovery_index":73,"body_temperature":72,"previous_night":65,"previous_day_activity":90,"sleep_balance":78,"activity_balance":74,"sleep_regularity":55};0.37;2025-04-12;2025-04-12T04:00:00-04:00
